Dronetype,Vinkel,Gjetetid,Gjennomsnitt,Standardavvik
com,10,100.0,21.65,3.76
com,15,100.0,21.87,3.78
com,20,100.0,21.82,3.71
com,25,100.0,21.87,4.68
com,30,100.0,23.08,5.78
v_polygon,10,98.0,42.21,8.81
v_polygon,15,99.0,42.63,9.04
v_polygon,20,100.0,43.8,9.58
v_polygon,25,99.0,41.85,9.31
v_polygon,30,97.0,42.09,8.71
