Dronetype,Vinkel,Gjetetid,Gjennomsnitt,Standardavvik
com,10,100.0,22.52,0.17
com,15,100.0,22.46,0.12
com,20,100.0,22.45,0.12
com,25,100.0,22.49,0.13
com,30,100.0,23.34,1.71
v_polygon,10,100.0,22.84,0.28
v_polygon,15,100.0,22.84,0.36
v_polygon,20,100.0,23.57,3.06
v_polygon,25,100.0,24.46,4.19
v_polygon,30,100.0,26.6,5.65
