Dronetype,Synsrekkevidde,Suksessrate,Gjennomsnitt,Standardavvik
Polygon,20,99,43.08,8.59
Polygon,30,99,39.5,9.46
Polygon,40,99,39.41,7.88
Sirkel,20,0,,
Sirkel,30,0,,
Sirkel,40,0,,
V,20,0,,
V,30,0,,
V,40,0,,
