Dronetype,Vinkel,Gjetetid,Gjennomsnitt,Standardavvik
com,10,100.0,15.4,0.12
com,15,100.0,15.39,0.11
com,20,100.0,15.41,0.13
com,25,100.0,15.47,0.14
com,30,100.0,16.49,2.82
v_polygon,10,100.0,15.63,0.27
v_polygon,15,100.0,15.65,0.29
v_polygon,20,100.0,16.28,2.65
v_polygon,25,100.0,18.51,6.08
v_polygon,30,100.0,20.06,6.93
