Dronetype,Synsrekkevidde,Suksessrate,Gjennomsnitt,Standardavvik
Massesenter,20,100,22.51,4.0
Massesenter,30,100,21.63,2.65
Massesenter,40,100,21.4,2.81
Polygon,20,99,36.39,6.01
Polygon,30,100,36.57,5.96
Polygon,40,100,36.31,5.89
Sirkel,20,0,,
Sirkel,30,0,,
Sirkel,40,0,,
V,20,0,,
V,30,0,,
V,40,0,,
