Dronetype,Synsrekkevidde,Suksessrate,Gjennomsnitt,Standardavvik
Massesenter,20,100,22.5,0.23
Massesenter,30,100,22.55,0.22
Massesenter,40,100,22.56,0.25
Polygon,20,100,22.55,0.26
Polygon,30,100,22.84,0.41
Polygon,40,100,22.84,0.37
Sirkel,20,32,31.5,15.33
Sirkel,30,46,30.56,14.2
Sirkel,40,69,48.96,14.86
V,20,100,22.52,0.15
V,30,100,22.69,0.2
V,40,100,22.98,0.27
