Dronetype,Vinkel,Suksessrate,Gjennomsnitt,Standardavvik
Massesenter,10,100,22.63,0.14
Massesenter,15,100,22.37,0.17
Massesenter,20,100,22.29,0.17
Massesenter,25,100,22.32,0.17
Massesenter,30,100,22.61,0.19
V-polygon,10,100,22.48,0.13
V-polygon,15,100,22.15,0.16
V-polygon,20,100,22.17,0.11
V-polygon,25,100,22.18,0.12
V-polygon,30,100,22.41,0.2
