Dronetype,Vinkel,Suksessrate,Gjennomsnitt,Standardavvik
Massesenter,10,100,22.61,0.19
Massesenter,15,100,22.36,0.16
Massesenter,20,100,22.27,0.13
Massesenter,25,100,22.3,0.14
Massesenter,30,100,22.51,0.21
V-polygon,10,100,22.45,0.11
V-polygon,15,100,22.16,0.14
V-polygon,20,100,22.13,0.12
V-polygon,25,100,22.16,0.13
V-polygon,30,100,22.42,0.18
