Testtype,Vinkel,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,10,16.57,100.0,0.86,15.71
cooperative_flock,10,15.61,100.0,0.36,15.25
cooperative_flock,10,15.76,100.0,0.46,15.31
cooperative_flock,10,15.65,100.0,0.41,15.25
cooperative_flock,10,15.86,100.0,0.55,15.31
cooperative_flock,10,15.31,100.0,0.37,14.94
cooperative_flock,10,15.78,100.0,0.45,15.33
cooperative_flock,10,15.82,100.0,0.42,15.4
cooperative_flock,10,15.73,100.0,0.44,15.29
cooperative_flock,10,15.73,100.0,0.35,15.38
cooperative_flock,10,15.7,100.0,0.35,15.35
cooperative_flock,10,15.83,100.0,0.37,15.46
cooperative_flock,10,15.62,100.0,0.32,15.3
cooperative_flock,10,15.49,100.0,0.48,15.01
cooperative_flock,10,15.56,100.0,0.36,15.2
cooperative_flock,10,15.46,100.0,0.32,15.14
cooperative_flock,10,15.83,100.0,0.32,15.51
cooperative_flock,10,15.62,100.0,0.34,15.29
cooperative_flock,10,15.6,100.0,0.33,15.27
cooperative_flock,10,15.6,100.0,0.35,15.25
cooperative_flock,10,16.33,100.0,0.35,16.04
cooperative_flock,10,15.62,100.0,0.32,15.3
cooperative_flock,10,15.72,100.0,0.41,15.32
cooperative_flock,10,15.49,100.0,0.27,15.22
cooperative_flock,10,15.76,100.0,0.42,15.34
cooperative_flock,10,15.85,100.0,0.41,15.45
cooperative_flock,10,15.63,100.0,0.3,15.33
cooperative_flock,10,15.66,100.0,0.4,15.25
cooperative_flock,10,15.34,100.0,0.37,14.98
cooperative_flock,10,15.41,100.0,0.42,14.99
cooperative_flock,10,15.58,100.0,0.37,15.21
cooperative_flock,10,15.74,100.0,0.48,15.27
cooperative_flock,10,15.51,100.0,0.26,15.26
cooperative_flock,10,15.74,100.0,0.39,15.36
cooperative_flock,10,15.27,100.0,0.34,14.93
cooperative_flock,10,15.44,100.0,0.34,15.1
cooperative_flock,10,15.48,100.0,0.31,15.17
cooperative_flock,10,15.7,100.0,0.42,15.28
cooperative_flock,10,15.74,100.0,0.39,15.36
cooperative_flock,10,15.8,100.0,0.41,15.39
cooperative_flock,10,16.42,100.0,0.36,16.15
cooperative_flock,10,15.81,100.0,0.36,15.45
cooperative_flock,10,15.55,100.0,0.34,15.21
cooperative_flock,10,15.59,100.0,0.3,15.29
cooperative_flock,10,15.35,100.0,0.32,15.03
cooperative_flock,10,15.53,100.0,0.41,15.12
cooperative_flock,10,15.77,100.0,0.39,15.38
cooperative_flock,10,15.61,100.0,0.34,15.27
cooperative_flock,10,15.35,100.0,0.31,15.05
cooperative_flock,10,15.85,100.0,0.41,15.44
cooperative_flock,10,15.57,100.0,0.38,15.2
cooperative_flock,10,15.7,100.0,0.43,15.27
cooperative_flock,10,15.69,100.0,0.41,15.27
cooperative_flock,10,15.74,100.0,0.57,15.18
cooperative_flock,10,15.42,100.0,0.3,15.12
cooperative_flock,10,15.56,100.0,0.41,15.15
cooperative_flock,10,15.68,100.0,0.34,15.34
cooperative_flock,10,15.4,100.0,0.26,15.14
cooperative_flock,10,15.69,100.0,0.45,15.25
cooperative_flock,10,15.43,100.0,0.32,15.11
cooperative_flock,10,16.27,100.0,0.37,15.96
cooperative_flock,10,15.39,100.0,0.23,15.16
cooperative_flock,10,15.79,100.0,0.46,15.34
cooperative_flock,10,15.77,100.0,0.39,15.38
cooperative_flock,10,15.62,100.0,0.33,15.29
cooperative_flock,10,15.65,100.0,0.33,15.32
cooperative_flock,10,15.65,100.0,0.39,15.27
cooperative_flock,10,15.67,100.0,0.32,15.36
cooperative_flock,10,15.65,100.0,0.29,15.36
cooperative_flock,10,15.76,100.0,0.34,15.42
cooperative_flock,10,15.45,100.0,0.3,15.16
cooperative_flock,10,15.83,100.0,0.45,15.38
cooperative_flock,10,15.96,100.0,0.63,15.33
cooperative_flock,10,15.71,100.0,0.54,15.17
cooperative_flock,10,15.41,100.0,0.34,15.08
cooperative_flock,10,15.6,100.0,0.44,15.17
cooperative_flock,10,15.73,100.0,0.39,15.35
cooperative_flock,10,15.83,100.0,0.54,15.29
cooperative_flock,10,15.84,100.0,0.38,15.47
cooperative_flock,10,15.52,100.0,0.38,15.14
cooperative_flock,10,16.18,100.0,0.34,15.93
cooperative_flock,10,15.6,100.0,0.34,15.26
cooperative_flock,10,15.54,100.0,0.26,15.27
cooperative_flock,10,15.62,100.0,0.45,15.17
cooperative_flock,10,15.57,100.0,0.39,15.2
cooperative_flock,10,15.72,100.0,0.39,15.33
cooperative_flock,10,15.84,100.0,0.54,15.31
cooperative_flock,10,15.55,100.0,0.32,15.23
cooperative_flock,10,15.76,100.0,0.46,15.3
cooperative_flock,10,15.7,100.0,0.46,15.25
cooperative_flock,10,15.55,100.0,0.4,15.15
cooperative_flock,10,15.39,100.0,0.3,15.1
cooperative_flock,10,15.84,100.0,0.34,15.5
cooperative_flock,10,15.77,100.0,0.48,15.29
cooperative_flock,10,15.64,100.0,0.35,15.29
cooperative_flock,10,15.5,100.0,0.43,15.08
cooperative_flock,10,15.63,100.0,0.38,15.26
cooperative_flock,10,15.53,100.0,0.31,15.22
cooperative_flock,10,15.75,100.0,0.36,15.4
cooperative_flock,10,15.74,100.0,0.49,15.26
cooperative_flock,15,15.88,100.0,0.51,15.47
cooperative_flock,15,15.95,100.0,0.66,15.3
cooperative_flock,15,15.65,100.0,0.36,15.29
cooperative_flock,15,15.8,100.0,0.45,15.35
cooperative_flock,15,15.61,100.0,0.45,15.17
cooperative_flock,15,15.67,100.0,0.44,15.23
cooperative_flock,15,15.54,100.0,0.45,15.1
cooperative_flock,15,15.65,100.0,0.44,15.22
cooperative_flock,15,15.77,100.0,0.67,15.1
cooperative_flock,15,15.71,100.0,0.38,15.33
cooperative_flock,15,15.58,100.0,0.39,15.19
cooperative_flock,15,15.78,100.0,0.61,15.19
cooperative_flock,15,15.76,100.0,0.41,15.35
cooperative_flock,15,15.54,100.0,0.44,15.1
cooperative_flock,15,15.58,100.0,0.41,15.16
cooperative_flock,15,15.37,100.0,0.36,15.01
cooperative_flock,15,15.53,100.0,0.36,15.17
cooperative_flock,15,15.9,100.0,0.61,15.29
cooperative_flock,15,15.37,100.0,0.35,15.02
cooperative_flock,15,15.68,100.0,0.43,15.25
cooperative_flock,15,16.18,100.0,0.43,15.81
cooperative_flock,15,15.5,100.0,0.45,15.05
cooperative_flock,15,15.72,100.0,0.48,15.23
cooperative_flock,15,15.77,100.0,0.52,15.25
cooperative_flock,15,15.62,100.0,0.4,15.22
cooperative_flock,15,15.77,100.0,0.47,15.3
cooperative_flock,15,15.79,100.0,0.55,15.24
cooperative_flock,15,15.49,100.0,0.43,15.07
cooperative_flock,15,15.75,100.0,0.47,15.28
cooperative_flock,15,15.71,100.0,0.49,15.22
cooperative_flock,15,15.46,100.0,0.42,15.04
cooperative_flock,15,15.57,100.0,0.47,15.11
cooperative_flock,15,15.64,100.0,0.34,15.3
cooperative_flock,15,15.78,100.0,0.58,15.2
cooperative_flock,15,15.73,100.0,0.51,15.22
cooperative_flock,15,15.61,100.0,0.51,15.1
cooperative_flock,15,15.57,100.0,0.41,15.16
cooperative_flock,15,15.46,100.0,0.34,15.13
cooperative_flock,15,15.53,100.0,0.34,15.19
cooperative_flock,15,15.7,100.0,0.41,15.3
cooperative_flock,15,15.93,100.0,0.29,15.72
cooperative_flock,15,15.71,100.0,0.45,15.27
cooperative_flock,15,15.52,100.0,0.36,15.16
cooperative_flock,15,15.73,100.0,0.49,15.24
cooperative_flock,15,15.66,100.0,0.36,15.3
cooperative_flock,15,15.53,100.0,0.34,15.19
cooperative_flock,15,15.46,100.0,0.32,15.14
cooperative_flock,15,15.58,100.0,0.36,15.22
cooperative_flock,15,15.86,100.0,0.68,15.19
cooperative_flock,15,15.67,100.0,0.37,15.3
cooperative_flock,15,15.5,100.0,0.35,15.15
cooperative_flock,15,15.5,100.0,0.37,15.13
cooperative_flock,15,15.68,100.0,0.42,15.26
cooperative_flock,15,15.64,100.0,0.4,15.25
cooperative_flock,15,15.54,100.0,0.23,15.31
cooperative_flock,15,15.58,100.0,0.29,15.29
cooperative_flock,15,15.61,100.0,0.36,15.25
