Dronetype,Vinkel,Suksessrate,Gjennomsnitt,Standardavvik
Massesenter,10,100,19.7,1.02
Massesenter,15,100,19.43,1.08
Massesenter,20,100,19.03,1.16
Massesenter,25,100,19.13,0.73
Massesenter,30,100,19.4,1.37
V-polygon,10,100,41.45,8.57
V-polygon,15,100,39.11,10.56
V-polygon,20,99,39.8,8.14
V-polygon,25,97,39.8,8.96
V-polygon,30,100,39.05,9.51
