Dronetype,Vinkel,Suksessrate,Gjennomsnitt,Standardavvik
Massesenter,10,100,15.71,0.19
Massesenter,15,100,15.61,0.22
Massesenter,20,100,15.61,0.18
Massesenter,25,100,15.73,0.19
Massesenter,30,100,16.07,0.25
V-polygon,10,100,15.65,0.19
V-polygon,15,100,15.63,0.18
V-polygon,20,100,15.62,0.2
V-polygon,25,100,15.72,0.23
V-polygon,30,100,16.07,0.24
