Dronetype,Synsrekkevidde,Suksessrate,Gjennomsnitt,Standardavvik
our15,20,100.0,15.4,0.13
our15,30,100.0,15.4,0.1
our15,40,100.0,15.39,0.11
our20,20,100.0,15.42,0.12
our20,30,100.0,15.39,0.11
our20,40,100.0,15.4,0.12
our25,20,100.0,15.49,0.13
our25,30,100.0,15.47,0.15
our25,40,100.0,15.46,0.14
