Dronetype,Synsrekkevidde,Suksessrate,Gjennomsnitt,Standardavvik
our15,20,100.0,22.11,4.85
our15,30,100.0,21.62,4.17
our15,40,100.0,22.53,4.37
our20,20,100.0,22.46,4.53
our20,30,100.0,22.07,4.47
our20,40,100.0,21.92,4.77
our25,20,100.0,24.03,5.99
our25,30,100.0,23.04,4.59
our25,40,100.0,21.97,4.01
