Dronetype,Synsrekkevidde,Suksessrate,Gjennomsnitt,Standardavvik
our15,20,100.0,20.42,5.42
our15,30,100.0,19.72,2.59
our15,40,100.0,19.74,3.22
our20,20,100.0,21.65,6.36
our20,30,100.0,20.89,4.7
our20,40,100.0,19.91,3.52
our25,20,100.0,21.34,4.85
our25,30,100.0,20.55,3.6
our25,40,100.0,22.01,4.92
