Dronetype,Synsrekkevidde,Suksessrate,Gjennomsnitt,Standardavvik
our15,20,100.0,22.46,0.13
our15,30,100.0,22.45,0.13
our15,40,100.0,22.47,0.12
our20,20,100.0,22.48,0.11
our20,30,100.0,22.45,0.12
our20,40,100.0,22.47,0.13
our25,20,100.0,22.49,0.15
our25,30,100.0,22.47,0.17
our25,40,100.0,22.49,0.15
